country,total_cases,total_cases_per_million
Afghanistan,186120,4641.459
Albania,313582,109847.235
Algeria,267657,6058.608
Andorra,45508,575802.819
Angola,102301,2964.922
Anguilla,3580,227258.3
Antigua and Barbuda,8773,94110.706
Argentina,9560307,211152.538
Armenia,426799,152921.167
Aruba,42217,396269.806
Australia,9517224,367161.426
Austria,4799326,537915.478
Azerbaijan,799471,77520.762
Bahamas,36730,90045.256
Bahrain,660640,451483.498
Bangladesh,2005993,11844.812
Barbados,92516,329004.267
Belarus,994037,103781.537
Belgium,4425201,381107.651
Belize,67111,167764.498
Benin,27316,2101.733
Bermuda,17193,267866.324
Bhutan,60530,77853.492
Bolivia,1047198,86692.365
Bonaire Sint Eustatius and Saba,10834,405676.627
Bosnia and Herzegovina,386012,118012.451
Botswana,325470,125740.654
Brazil,33890428,158125.439
British Virgin Islands,7131,229130.519
Brunei,210417,472451.181
Bulgaria,1211728,175973.167
Burkina Faso,21128,955.989
Burundi,46151,3677.015
Cambodia,136868,8250.516
Cameroon,120215,4419.892
Canada,4099374,107439.987
Cape Verde,62172,105748.182
Cayman Islands,29109,427219.091
Central African Republic,14772,2706.905
Chad,7437,432.894
Chile,4253056,218181.699
China,906849,635.987
Colombia,6265798,121626.866
Comoros,8329,10137.216
Congo,24775,4245.343
Cook Islands,6109,359289.537
Costa Rica,1044385,202637.507
Cote d'Ivoire,85444,3109.514
Croatia,1187825,292558.006
Cuba,1108261,98456.323
Curacao,45127,237088.758
Cyprus,562911,628243.976
Czechia,3991594,379763.005
Democratic Republic of Congo,92173,961.196
Denmark,3235576,552689.333
Djibouti,15690,14191.941
Dominica,14852,205104.126
Dominican Republic,629643,56633.4
Ecuador,963668,54145.535
Egypt,515645,4719.337
El Salvador,190818,30220.613
Equatorial Guinea,16741,10242.489
Eritrea,10074,2782.633
Estonia,591377,445079.066
Eswatini,73284,61465.892
Ethiopia,492316,4092.98
Faeroe Islands,34658,655309.333
Falkland Islands,1839,488575.983
Fiji,67673,73190.859
Finland,1171034,211531.014
France,33983123,504036.116
French Polynesia,75440,248131.776
Gabon,48511,20720.757
Gambia,12115,4589.161
Georgia,1686218,448703.293
Germany,31044554,372198.684
Ghana,168127,5120.666
Gibraltar,19938,610284.665
Greece,4474616,428382.924
Greenland,11971,212844.265
Grenada,18786,150758.366
Guam,NULL,NULL
Guatemala,1044915,59341.568
Guernsey,NULL,NULL
Guinea,37408,2764.429
Guinea-Bissau,8440,4095.654
Guyana,69846,86811.912
Haiti,32272,2819.114
Honduras,442319,43034.064
Hong Kong,1362371,181780.882
Hungary,1965481,202422.69
Iceland,202502,546807.62
India,44067144,31307.386
Indonesia,6216621,22708.853
Iran,7410075,84278.728
Iraq,2447232,56214.796
Ireland,1644166,329721.734
Isle of Man,37696,447361.238
Israel,4589285,493949.521
Italy,21124644,356592.274
Jamaica,146541,51823.5
Japan,13129678,105364.027
Jersey,NULL,NULL
Jordan,1715296,153861.969
Kazakhstan,1444167,75230.882
Kenya,337689,6370.816
Kiribati,3430,26615.143
Kosovo,255773,143522.163
Kuwait,653730,153814.698
Kyrgyzstan,203776,31216.915
Laos,211375,28467.791
Latvia,866034,462151.246
Lebanon,1176838,210426.542
Lesotho,34040,14920.31
Liberia,7538,1451.453
Libya,504997,74977.911
Liechtenstein,18756,480442.634
Lithuania,1185583,425450.837
Luxembourg,282929,442546.076
Macao,791,1152.042
Madagascar,66491,2299.481
Malawi,87476,4398.046
Malaysia,4687470,139616.596
Maldives,184485,353786.882
Mali,31230,1425.703
Malta,112973,214472.575
Marshall Islands,66,1569.56
Mauritania,62592,13562.807
Mauritius,244850,188503.482
Mexico,6782980,53533.583
Micronesia (country),5444,48121.205
Moldova,532187,173831.768
Monaco,14129,385133.293
Mongolia,948421,283298.315
Montenegro,261025,415738.247
Montserrat,1054,238623.5
Morocco,1261499,34024.143
Mozambique,229623,7158.478
Myanmar,614128,11415.425
Namibia,169253,66894.426
Nauru,NULL,NULL
Nepal,987737,32886.211
Netherlands,8352592,477244.72
New Caledonia,70937,246480.195
New Zealand,1635992,318923.732
Nicaragua,14807,2161.435
Niger,9114,360.912
Nigeria,261473,1225.264
Niue,NULL,NULL
North Korea,1,0.039
North Macedonia,328995,156416.254
Northern Cyprus,NULL,NULL
Northern Mariana Islands,NULL,NULL
Norway,1456268,269528.473
Oman,395737,87543.311
Pakistan,1556445,6726.149
Palau,5308,294496.227
Palestine,691065,134621.513
Panama,954369,219331.289
Papua New Guinea,44797,4502.466
Paraguay,707109,105478.849
Peru,3923744,116378.142
Philippines,3782822,33217.519
Pitcairn,NULL,NULL
Poland,6075927,158608.397
Portugal,5349218,519841.055
Puerto Rico,NULL,NULL
Qatar,410568,152727.719
Romania,3080545,159377.884
Russia,18350864,126468.061
Rwanda,132267,9825.293
Saint Helena,4,740.192
Saint Kitts and Nevis,6464,135781.204
Saint Lucia,27966,155667.624
Saint Pierre and Miquelon,3083,524052.354
Saint Vincent and the Grenadines,9447,90547.483
Samoa,15405,70418.35
San Marino,19942,590944.112
Sao Tome and Principe,6115,27408.374
Saudi Arabia,810187,22536.247
Senegal,87445,5181.398
Serbia,2135952,310840.048
Seychelles,45540,427726.12
Sierra Leone,7734,918.457
Singapore,1728995,317037.37
Sint Maarten (Dutch part),NULL,NULL
Slovakia,2582793,474113.843
Slovenia,1086337,512565.761
Solomon Islands,21544,30435.784
Somalia,27020,1583.304
South Africa,4004555,67425.542
South Korea,20052305,386885.032
South Sudan,17780,1654.219
Spain,13245996,278939.797
Sri Lanka,665964,30586.07
Sudan,63074,1381.469
Suriname,80982,132111.115
Sweden,2539715,242637.954
Switzerland,3972622,457074.724
Syria,56386,2644.205
Taiwan,4628294,193977.832
Tajikistan,17786,1824.193
Tanzania,37510,589.888
Thailand,4596559,64196.762
Timor,23019,17426.2
Togo,38104,4407.722
Tokelau,NULL,NULL
Tonga,12554,118414.971
Trinidad and Tobago,171590,112469.136
Tunisia,1128693,92040.934
Turkey,15889495,187430.484
Turkmenistan,NULL,NULL
Turks and Caicos Islands,6303,139712.728
Tuvalu,NULL,NULL
Uganda,169340,3693.044
Ukraine,5294949,121635.103
United Arab Emirates,993684,106104.508
United Kingdom,23392406,347681.992
United States,91585521,271769.041
United States Virgin Islands,NULL,NULL
Uruguay,971728,283611.868
Uzbekistan,243162,7134.732
Vanuatu,11730,36755.49
Vatican,29,56751.468
Venezuela,536086,19010.232
Vietnam,10783026,110631.416
Wallis and Futuna,761,65451.105
Western Sahara,NULL,NULL
Yemen,11877,360.109
Zambia,330575,16975.96
Zimbabwe,256403,16031.676
